our,remove,internet,free,you,your,000,money,hp,george,Target
0,0,0,0,0,0,0,0,0,7,0.0 
0,0,0,0,8,1,0,2,0,0,0.0 
0,0,0,0,0,0,0,0,0,0,0.0 
0,0,0,0,0,0,0,0,0,5,0.0 
0,3,8,0,5,2,0,0,0,3,1.0 
0,0,8,0,0,1,0,0,0,0,0.0 
0,0,1,0,0,0,0,0,8,0,0.0 
0,0,0,0,0,0,0,0,0,0,0.0 
2,2,2,0,0,0,0,5,0,2,1.0 
4,0,0,0,0,0,0,0,0,0,0.0 
0,0,4,0,0,0,0,0,0,0,0.0 
0,0,0,0,0,0,0,0,0,0,0.0 
0,0,0,0,0,0,0,0,0,0,1.0 
0,0,0,0,0,0,0,0,0,0,0.0 
0,0,0,0,0,0,0,0,0,0,0.0 
0,0,0,0,0,0,0,0,0,0,0.0 
0,0,0,0,0,0,0,0,0,0,0.0 
13,0,0,0,0,0,0,0,0,0,0.0 
0,0,12,0,6,0,0,0,0,0,0.0 
0,0,0,0,0,8,0,0,0,0,1.0 
0,0,0,0,4,4,4,4,0,0,1.0 
0,0,0,0,13,4,4,0,0,0,1.0 
0,5,10,0,26,5,10,0,0,0,1.0 
1,0,2,0,17,4,0,0,0,1,1.0 
0,26,0,0,0,0,0,0,0,0,0.0 
0,3,4,0,1,0,0,0,1,0,1.0 
0,0,0,0,3,0,0,0,0,0,0.0 
0,0,9,0,0,0,0,0,0,0,1.0 
4,0,8,0,0,0,0,0,0,0,0.0 
0,0,0,0,0,0,0,0,0,0,0.0 
1,1,0,0,5,0,0,5,0,1,1.0 
0,0,0,0,0,0,0,0,0,0,0.0 
0,0,0,0,0,0,0,2,0,0,0.0 
8,0,0,0,8,0,0,0,0,0,1.0 
0,0,0,0,0,0,0,0,0,0,0.0 
0,0,1,0,0,0,0,0,0,0,0.0 
0,0,0,0,11,0,0,0,0,0,1.0 
0,4,0,0,0,0,0,0,0,4,0.0 
0,0,5,5,0,0,0,2,0,0,1.0 
0,0,15,0,0,7,0,0,0,0,0.0 
0,0,0,0,0,0,0,0,0,0,0.0 
0,0,8,0,4,0,0,0,0,0,1.0 
0,0,0,0,10,0,0,0,0,0,0.0 
0,0,0,0,0,0,0,0,0,0,0.0 
0,0,0,0,6,0,3,6,3,6,1.0 
0,0,6,0,0,0,0,30,0,0,0.0 
0,0,0,0,0,0,0,0,0,0,0.0 
0,0,0,0,0,0,0,0,0,0,0.0 
0,142,0,0,0,0,0,0,0,0,0.0 
0,0,0,0,0,0,0,0,0,0,1.0 
